Tradition,tradition_name,not_coastal,ethos_bellicose,ethos_bureaucratic,ethos_courtly,ethos_communal,ethos_egalitarian,ethos_spiritual,ethos_stoic,heritage1,heritage2,heritage3,heritage4,heritage5,plains,jungle,farmlands,forest,hills,mountains,steppe,taiga,desert,heritage_kdccchbhff_seed
Hereditary Hierarchy,tradition_hereditary_hierarchy,1,0.5,0.5,0.75,0.5,0.5,0.75,0.5,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Hidden Cities,tradition_hidden_cities,1,0.5,0.75,0.5,0.5,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0,0.75,0,0,0,0,0,0,0,0.1
Hill Dwellers,tradition_hill_dwellers,1,0.5,0.75,0.75,0.75,0.75,0.75,0.75,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0.75,0,0,0,0,0.1
Isolationist,tradition_isolationist,1,0.5,0.5,0.5,0.75,0.5,0.75,0.75,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Jungle Dwellers,tradition_jungle_dwellers,1,0.5,0.75,0.75,0.75,0.75,0.75,0.75,0.1,0.1,0.1,0.1,0.1,0,0.75,0,0,0,0,0,0,0,0.1
Legalistic,tradition_legalistic,1,0.5,0.5,0.75,0.75,0.75,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Marital Ceremonies,tradition_wedding_ceremonies,1,0.5,0.5,0.75,0.75,0.5,0.75,0.5,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Maritime Mercantilism,tradition_maritime_mercantilism,0,0.5,0.75,0.5,0.5,0.75,0.5,0.75,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Matriarchal,tradition_female_only_inheritance,1,0.5,0.5,0.5,0.5,0.75,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Metalworkers,tradition_metal_craftsmanship,1,0.5,0.75,0.5,0.75,0.5,0.5,0.75,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Monastic Communities,tradition_monastic_communities,1,0.5,0.5,0.5,0.75,0.5,0.75,0.5,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Mountain Homes,tradition_mountain_homes,1,0.5,0.75,0.75,0.75,0.75,0.75,0.75,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0.75,0,0,0,0.1
Parochialism,tradition_parochialism,1,0.5,0.5,0.75,0.75,0.5,0.75,0.5,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Pastorialists,tradition_pastoralists,1,0.75,0.5,0.5,0.75,0.5,0.5,0.75,0.1,0.1,0.1,0.1,0.1,0.75,0,0,0,0,0,0.75,0,0,0.1
Ruling Caste,tradition_ruling_caste,1,0.5,0.5,0.75,0.5,0.5,0.75,0.5,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Staunch Traditionalists,tradition_staunch_traditionalists,1,0.5,0.5,0.5,0.75,0.5,0.75,0.75,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Tribal Unity,tradition_tribe_unity,1,0.5,0.5,0.5,0.75,0.5,0.75,0.75,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Wetlanders,tradition_wetlanders,1,0.5,0.75,0.75,0.75,0.75,0.75,0.75,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Amharic Highlanders,tradition_amharic_highlanders,1,0.5,0.5,0.5,0.5,0.5,0.75,0.5,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0.75,0,0,0,0,0.1
Ancient Miners,tradition_ancient_miners,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0.75,0,0,0,0,0.1
Coastal Warriors,tradition_fp1_coastal_warriors,0,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.1,0.1,1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Eastern Roman Legacy,tradition_roman_legacy,1,0.75,0.5,0.75,0.5,0.75,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Malleable Subjects,tradition_fp2_malleable_subjects,1,0.5,0.5,0.75,0.5,0.75,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Polders,tradition_polders,0,0.5,0.75,0.5,0.75,0.5,0.5,0.75,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Republican Legacy,tradition_republican_legacy,1,0.5,0.5,0.75,0.75,0.5,0.75,0.5,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
State Ransoming,tradition_fp2_state_ransoming,1,0.75,0.5,0.5,0.75,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
